"","Price","Fuel","Engine","Horsepower","Power_Nm","Acceleration","Consumption","CO2","Autonomy_klm","Taxation","Air_condition","Clima","Back_electric_windows","Heated_mirrors"
"68",90940," Mild-Hybird",2995,340,500,5.3,6.8,157,926,290,"NO","YES","YES","YES"
"69",107060," Diesel Mild-Hybird",2967,286,600,5.9,5.6,145,1286,268,"NO","YES","YES","YES"
"74",25030," Gasoline",999,116,200,10.1,5.1,117,980,115,"YES","NO","YES","YES"
"75",27080," Gasoline",999,116,200,10.3,5.1,117,980,115,"YES","NO","YES","YES"
"76",27980," Gasoline",1395,150,250,8.5,5.5,124,909,149,"YES","NO","YES","YES"
"77",27680," Diesel",1598,116,250,10.3,4.4,114,1136,112,"YES","NO","YES","YES"
"78",36270," Diesel",1968,150,340,8.1,4.8,125,1042,150,"YES","NO","YES","YES"
"79",40740," Diesel",1968,190,400,7.3,4.8,125,1042,150,"YES","NO","YES","YES"
"90",58150," Diesel",1968,163,320,9.7,4.5,117,1556,115,"NO","YES","YES","YES"
"91",61130," Diesel",1968,163,320,9.7,4.5,117,1556,115,"NO","YES","YES","YES"
"92",61130," Diesel",1968,163,320,9.7,4.5,117,1556,115,"NO","YES","YES","YES"
"93",61260," Diesel",1968,190,400,7.9,4.9,129,1429,155,"NO","YES","YES","YES"
"94",62640," Diesel",1968,190,400,7.9,4.9,129,1429,155,"NO","YES","YES","YES"
"95",62640," Diesel",1968,190,400,7.9,4.9,129,1429,155,"NO","YES","YES","YES"
"96",61250," Gasoline",1984,245,370,6.3,6.8,157,1029,290,"NO","YES","YES","YES"
"97",62480," Gasoline",1984,245,370,6.3,6.8,157,1029,290,"NO","YES","YES","YES"
"98",62480," Gasoline",1984,245,370,6.3,6.8,157,1029,290,"NO","YES","YES","YES"
"99",93740," Diesel",2967,240,550,7.9,7.4,195,1351,542,"NO","YES","YES","YES"
"100",186650," Gasoline",4163,420,430,4.6,14.6,349,514,1298,"NO","YES","NO","YES"
"101",193700," Gasoline",4163,420,430,4.6,13.6,325,551,1209,"NO","YES","NO","YES"
"102",232550," Gasoline",5204,525,530,3.9,14.7,351,612,1306,"NO","YES","NO","YES"
"103",257650," Gasoline",5204,525,530,4.1,14.9,356,537,1324,"NO","YES","NO","YES"
"104",49010," Gasoline",1984,300,380,5.3,7,162,786,397,"NO","NO","NO","NO"
"105",48840," Gasoline",1984,300,380,5.3,7,162,786,397,"NO","YES","YES","YES"
"106",85260," Gasoline",2995,333,440,5.1,9.7,225,660,686,"NO","YES","YES","YES"
"107",74840," Gasoline",4163,354,440,5.1,12.4,298,524,1109,"NO","YES","NO","YES"
"108",45100," Diesel",1968,184,280,7.1,4.2,110,1190,108,"NO","YES","NO","YES"
"109",44900," Gasoline",1984,230,370,6,5.9,137,847,164,"NO","YES","NO","YES"
"113",34880," Diesel",1496,116,270,11.1,4.1,109,1488,107,"NO","YES","YES","YES"
"114",31645," Gasoline",1499,136,220,9.7,5.3,124,1151,149,"NO","YES","YES","YES"
"115",48150," Hybrid-Plug-in",1499,220,385,6.9,1.9,43,1895,0,"NO","YES","YES","YES"
"116",39250," Diesel",1995,143,320,9.2,4.3,128,1419,154,"NO","YES","YES","YES"
"117",46400," Diesel",1995,184,380,7.8,4.9,129,1245,155,"NO","YES","YES","YES"
"118",50100," Diesel",1995,190,400,7.6,4.9,128,1245,154,"NO","YES","YES","YES"
"119",53050," Diesel",1995,231,450,6.6,5,132,1220,158,"NO","YES","YES","YES"
"120",40700," Gasoline",1998,192,280,7.7,5.9,136,1034,163,"NO","YES","YES","YES"
"121",44350," Gasoline",1998,192,280,7.4,6.3,146,968,270,"NO","YES","YES","YES"
"122",33630," Gasoline",1499,140,220,9.6,5.6,129,911,155,"NO","YES","YES","YES"
"123",41350," Diesel",1995,150,350,9.3,4.5,119,1133,117,"NO","YES","YES","YES"
"124",45300," Diesel",1995,150,350,9.2,4.9,128,1041,154,"NO","YES","YES","YES"
"125",52200," Diesel",1995,190,400,7.7,4.6,121,1109,145,"NO","YES","YES","YES"
"126",53350," Gasoline",1995,231,450,6.7,5.1,133,1000,160,"NO","YES","YES","YES"
"127",42800," Gasoline",1998,192,280,7.7,5.5,126,927,151,"NO","YES","YES","YES"
"128",46500," Diesel",1998,192,280,7.4,6.1,138,836,166,"NO","YES","YES","YES"
"130",49983," Diesel",1995,143,360,9.9,5.1,135,1314,162,"NO","YES","YES","YES"
"131",56667," Diesel",1995,184,380,8.5,5.6,149,1196,276,"NO","YES","YES","YES"
"132",54808," Gasoline",1997,184,270,8.2,6.7,156,1000,289,"NO","YES","YES","YES"
"133",56585," Gasoline",1997,184,270,8.3,7.9,184,848,512,"NO","YES","YES","YES"
"134",71080," Gasoline",2979,306,400,5.7,8.8,204,761,622,"NO","YES","YES","YES"
"135",67617," Diesel",2993,258,560,6.2,6,159,1117,294,"NO","YES","YES","YES"
"136",64106," Gasoline",2996,258,310,6.9,9,210,744,641,"NO","YES","YES","YES"
"138",63566," Gasoline",1997,184,270,8.1,7.3,168,918,412,"NO","YES","YES","YES"
"142",96500," Diesel",2993,265,620,6.5,6,158,1333,292,"NO","YES","YES","YES"
"143",131400," Diesel",2993,400,760,5.2,6.8,179,1176,439,"NO","YES","YES","YES"
"144",102450," Gasoline",2998,340,450,5.5,8.5,193,941,537,"NO","YES","YES","YES"
"145",66350," Gasoline",1998,197,320,6.6,6,137,867,164,"NO","YES","NO","YES"
"146",91550," Gasoline",1998,258,400,5.4,6,137,867,164,"NO","YES","NO","YES"
"147",56300," Gasoline",2998,340,500,4.5,7.1,162,732,397,"NO","YES","NO","YES"
"148",26300," Diesel",1496,116,270,10.3,3.8,100,1105,90,"NO","YES","YES","YES"
"149",26125," Gasoline",1499,140,220,8.5,5,122,840,146,"NO","YES","YES","YES"
"150",33000," Diesel",1995,150,350,8.5,4.1,108,1024,106,"NO","YES","YES","YES"
"151",42650," Diesel",1995,190,400,7,4.5,117,933,115,"NO","YES","YES","YES"
"152",59300," Gasoline",1999,306,450,4.8,6.8,154,735,285,"NO","YES","YES","YES"
"153",27803," Gasoline",1499,136,220,8.8,5.1,119,1020,117,"NO","YES","NO","YES"
"154",36990," Diesel",1995,143,320,8.9,4.3,114,1209,112,"NO","YES","NO","YES"
"155",42059," Diesel",1995,184,380,7.2,4.5,119,1156,117,"NO","YES","NO","YES"
"156",33534," Gasoline",1997,184,270,7,6.1,142,852,263,"NO","YES","NO","YES"
"157",59645," Gasoline",2979,326,450,5,8.1,189,642,525,"NO","YES","NO","YES"
"159",32625," Diesel",1496,116,270,10.6,3.8,99,1342,89,"NO","YES","NO","YES"
"160",31167," Gasoline",1499,136,220,9.3,4.9,115,1041,113,"NO","YES","NO","YES"
"161",48150," Hybrid-Plug-in",1499,224,385,10.1,2.2,42,1636,0,"NO","YES","YES","YES"
"162",35111," Diesel",1995,150,330,8.9,3.8,109,1342,107,"NO","YES","NO","YES"
"163",31594," Gasoline",1998,192,280,7.5,5.9,137,864,164,"NO","YES","NO","YES"
"164",44364," Gasoline",1998,231,350,6.8,6,139,850,167,"NO","YES","NO","YES"
"165",46650," Diesel",1995,190,400,6.8,4.2,110,1405,108,"NO","YES","YES","YES"
"166",52720," Diesel",1995,190,400,6.9,4.5,118,1311,116,"NO","YES","YES","YES"
"167",49550," Gasoline",1998,258,400,5.8,5.8,132,1017,158,"NO","YES","YES","YES"
"168",52650," Hybrid-Plug-in",1998,292,420,5.9,1.6,37,2500,0,"NO","YES","YES","YES"
"169",47849," Diesel",1995,143,320,9.7,4.5,119,1267,117,"NO","YES","YES","YES"
"170",52726," Diesel",1995,184,380,8,4.9,129,1163,155,"NO","YES","YES","YES"
"171",46442," Gasoline",1997,184,270,7.9,6.6,153,864,283,"NO","YES","YES","YES"
"172",55015," Gasoline",1997,245,350,6.1,6.7,156,851,289,"NO","YES","YES","YES"
"173",74610," Gasoline",2979,306,400,5.7,8.1,188,704,523,"NO","YES","YES","YES"
